full_name,specialization,hospital,state,unique_id,email,phone,username
Dr. Vihaan Das,Orthopedic,Max Super Speciality,Gujarat,DOC-64210,vihaan_636@example.com,+919860717525,vihaan_636
Dr. Aadhya Kapoor,Oncologist,Apollo Hospital,Delhi,DOC-80050,aadhya_994@example.com,+919856330011,aadhya_994
Dr. Aadhya Das,Psychiatrist,NIMHANS,Telangana,DOC-70288,aadhya_310@example.com,+919859188500,aadhya_310
Dr. Ananya Desai,Psychiatrist,NIMHANS,Gujarat,DOC-74271,ananya_812@example.com,+919878655757,ananya_812
Dr. Aditya Verma,Oncologist,Rainbow Hospitals,Telangana,DOC-19584,aditya_557@example.com,+919840763472,aditya_557
Dr. Shaurya Iyer,Oncologist,Manipal Hospital,Gujarat,DOC-53865,shaurya_485@example.com,+919880565221,shaurya_485
Dr. Priya Sharma,Pediatrician,Max Super Speciality,Maharashtra,DOC-65942,priya_419@example.com,+919865440907,priya_419
Dr. Diya Das,Psychiatrist,AIIMS,Kerala,DOC-77510,diya_190@example.com,+919890467616,diya_190
Dr. Riya Sharma,Neurologist,Tata Memorial,Karnataka,DOC-63902,riya_458@example.com,+919821565794,riya_458
Dr. Ishaan Iyer,Psychiatrist,Max Super Speciality,Telangana,DOC-41412,ishaan_837@example.com,+919844348541,ishaan_837
Dr. Arjun Singh,Pediatrician,Fortis Hospital,Delhi,DOC-54942,arjun_699@example.com,+919823119866,arjun_699
Dr. Aarav Kapoor,Oncologist,Manipal Hospital,Tamil Nadu,DOC-21291,aarav_768@example.com,+919875636905,aarav_768
Dr. Krishna Kumar,Pediatrician,Manipal Hospital,Karnataka,DOC-80535,krishna_689@example.com,+919870094161,krishna_689
Dr. Saanvi Patel,Dermatologist,Apollo Hospital,Karnataka,DOC-88262,saanvi_265@example.com,+919858306330,saanvi_265
Dr. Ishaan Menon,General Physician,Rainbow Hospitals,Karnataka,DOC-57054,ishaan_390@example.com,+919829317601,ishaan_390
Dr. Sai Menon,Oncologist,Medanta,Gujarat,DOC-79109,sai_871@example.com,+919858130063,sai_871
Dr. Vivaan Reddy,Cardiologist,Medanta,Kerala,DOC-38217,vivaan_159@example.com,+919818021971,vivaan_159
Dr. Kavita Kapoor,General Physician,NIMHANS,Karnataka,DOC-41789,kavita_894@example.com,+919884031697,kavita_894
Dr. Aditya Patel,Psychiatrist,NIMHANS,Telangana,DOC-89836,aditya_177@example.com,+919823989490,aditya_177
Dr. Ananya Nair,Psychiatrist,Rainbow Hospitals,Karnataka,DOC-49830,ananya_915@example.com,+919827538618,ananya_915
Dr. Vihaan Bose,Orthopedic,Rainbow Hospitals,Delhi,DOC-25196,vihaan_817@example.com,+919890718840,vihaan_817
Dr. Aarav Das,Cardiologist,Manipal Hospital,Kerala,DOC-90080,aarav_537@example.com,+919819872585,aarav_537
Dr. Kavita Sharma,Pulmonologist,Rainbow Hospitals,Karnataka,DOC-41431,kavita_716@example.com,+919871713597,kavita_716
Dr. Arjun Rao,General Physician,NIMHANS,Kerala,DOC-61386,arjun_910@example.com,+919884704870,arjun_910
Dr. Ananya Bose,General Physician,Tata Memorial,Kerala,DOC-48356,ananya_525@example.com,+919865162591,ananya_525
Dr. Saanvi Gupta,Psychiatrist,Medanta,Gujarat,DOC-14644,saanvi_230@example.com,+919820039893,saanvi_230
Dr. Vihaan Gupta,Pulmonologist,Manipal Hospital,Kerala,DOC-28767,vihaan_446@example.com,+919815914755,vihaan_446
Dr. Saanvi Patel,Psychiatrist,Tata Memorial,Maharashtra,DOC-63009,saanvi_838@example.com,+919877413283,saanvi_838
Dr. Ishaan Das,Dermatologist,Max Super Speciality,Gujarat,DOC-60921,ishaan_684@example.com,+919898228424,ishaan_684
Dr. Aadhya Singh,Endocrinologist,Apollo Hospital,Maharashtra,DOC-62640,aadhya_488@example.com,+919816997486,aadhya_488
Dr. Vihaan Desai,Gynaecologist,Tata Memorial,Tamil Nadu,DOC-84230,vihaan_956@example.com,+919841101261,vihaan_956
Dr. Ishaan Bose,Pulmonologist,Apollo Hospital,Telangana,DOC-32275,ishaan_243@example.com,+919816899405,ishaan_243
Dr. Ishaan Rao,Oncologist,Tata Memorial,Maharashtra,DOC-37971,ishaan_787@example.com,+919864309983,ishaan_787
Dr. Kashvi Nair,General Physician,AIIMS,Gujarat,DOC-38668,kashvi_565@example.com,+919813163406,kashvi_565
Dr. Vivaan Kumar,Cardiologist,NIMHANS,Tamil Nadu,DOC-20667,vivaan_398@example.com,+919818345972,vivaan_398
Dr. Shaurya Desai,Orthopedic,Max Super Speciality,Gujarat,DOC-54238,shaurya_290@example.com,+919873979544,shaurya_290
Dr. Aadhya Das,Gynaecologist,AIIMS,Kerala,DOC-10938,aadhya_41@example.com,+919856427418,aadhya_41
Dr. Neha Sharma,Gynaecologist,Max Super Speciality,Delhi,DOC-44575,neha_821@example.com,+919884268492,neha_821
Dr. Riya Verma,Cardiologist,Manipal Hospital,Gujarat,DOC-10636,riya_642@example.com,+919829942543,riya_642
Dr. Riyansh Das,Endocrinologist,Rainbow Hospitals,Tamil Nadu,DOC-52449,riyansh_599@example.com,+919881096339,riyansh_599
Dr. Aditya Gupta,Oncologist,Rainbow Hospitals,Karnataka,DOC-88954,aditya_330@example.com,+919859623872,aditya_330
Dr. Ananya Bose,Pulmonologist,Fortis Hospital,Gujarat,DOC-40191,ananya_758@example.com,+919860699979,ananya_758
Dr. Aarav Gupta,Dermatologist,Apollo Hospital,Maharashtra,DOC-86869,aarav_778@example.com,+919822946227,aarav_778
Dr. Riya Sharma,Cardiologist,Manipal Hospital,Telangana,DOC-35804,riya_921@example.com,+919820311448,riya_921
Dr. Ananya Kumar,Psychiatrist,Max Super Speciality,Maharashtra,DOC-45251,ananya_406@example.com,+919866659107,ananya_406
Dr. Arjun Reddy,Dermatologist,Medanta,Tamil Nadu,DOC-63656,arjun_426@example.com,+919887237743,arjun_426
Dr. Kavita Singh,Gynaecologist,NIMHANS,Gujarat,DOC-51184,kavita_525@example.com,+919834538603,kavita_525
Dr. Rahul Patel,Endocrinologist,KIMS,Gujarat,DOC-51797,rahul_797@example.com,+919870095759,rahul_797
Dr. Riyansh Verma,Endocrinologist,Rainbow Hospitals,Karnataka,DOC-41425,riyansh_557@example.com,+919897082929,riyansh_557
Dr. Sai Bose,Pulmonologist,Tata Memorial,Maharashtra,DOC-29800,sai_430@example.com,+919827266872,sai_430
Dr. Riyansh Nair,Cardiologist,Apollo Hospital,Delhi,DOC-77005,riyansh_340@example.com,+919888523838,riyansh_340
Dr. Krishna Verma,Oncologist,NIMHANS,Kerala,DOC-59845,krishna_720@example.com,+919888166513,krishna_720
Dr. Arjun Bose,General Physician,KIMS,Karnataka,DOC-48963,arjun_126@example.com,+919853453629,arjun_126
Dr. Aditya Kapoor,Pulmonologist,Max Super Speciality,Delhi,DOC-13255,aditya_427@example.com,+919854297858,aditya_427
Dr. Krishna Rao,Dermatologist,Medanta,Maharashtra,DOC-86973,krishna_839@example.com,+919839140320,krishna_839
Dr. Arjun Reddy,Orthopedic,Apollo Hospital,Delhi,DOC-30132,arjun_785@example.com,+919893002789,arjun_785
Dr. Vihaan Sharma,Pediatrician,KIMS,Tamil Nadu,DOC-12576,vihaan_795@example.com,+919839816848,vihaan_795
Dr. Diya Patel,Endocrinologist,Fortis Hospital,Maharashtra,DOC-23983,diya_314@example.com,+919890138260,diya_314
Dr. Ishaan Iyer,Neurologist,KIMS,Tamil Nadu,DOC-81806,ishaan_838@example.com,+919840279499,ishaan_838
Dr. Vivaan Nair,Gynaecologist,Manipal Hospital,Tamil Nadu,DOC-76365,vivaan_600@example.com,+919824048964,vivaan_600
Dr. Vivaan Desai,Pulmonologist,Fortis Hospital,Delhi,DOC-47370,vivaan_591@example.com,+919862162376,vivaan_591
Dr. Ishaan Menon,General Physician,NIMHANS,Maharashtra,DOC-38543,ishaan_122@example.com,+919874882917,ishaan_122
Dr. Aditya Iyer,Neurologist,Manipal Hospital,Delhi,DOC-40929,aditya_614@example.com,+919853188645,aditya_614
Dr. Sai Gupta,Orthopedic,AIIMS,Kerala,DOC-98651,sai_851@example.com,+919872330048,sai_851
Dr. Sneha Reddy,Orthopedic,Rainbow Hospitals,Maharashtra,DOC-34555,sneha_387@example.com,+919822597169,sneha_387
Dr. Vihaan Nair,Pulmonologist,AIIMS,Gujarat,DOC-56658,vihaan_598@example.com,+919815490672,vihaan_598
Dr. Saanvi Rao,Dermatologist,Medanta,Gujarat,DOC-80219,saanvi_287@example.com,+919810990250,saanvi_287
Dr. Rahul Kumar,Neurologist,Rainbow Hospitals,Maharashtra,DOC-13050,rahul_444@example.com,+919872945887,rahul_444
